store_id,campaign_id,campaign_name,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold_after_promo,promo_price ,Total_revenue_before_promo,Total_revenue_after_promo 
STCBE-2,CAMP_SAN_01,Sankranti,P11,190,50% OFF,34,52,95.00,6460,4940
STBLR-8,CAMP_DIW_01,Diwali,P03,156,25% OFF,393,322,117.00,61308,37674
STVJD-0,CAMP_SAN_01,Sankranti,P07,300,BOGOF,22,85,300.00,6600,25500
STCBE-1,CAMP_DIW_01,Diwali,P15,3000,500 Cashback,329,1000,2500.00,987000,2500000
STBLR-6,CAMP_DIW_01,Diwali,P05,55,25% OFF,108,93,41.25,5940,3836.25
STBLR-4,CAMP_DIW_01,Diwali,P11,190,50% OFF,91,116,95.00,17290,11020
STVSK-2,CAMP_SAN_01,Sankranti,P10,50,25% OFF,31,26,37.50,1550,975
STHYD-4,CAMP_DIW_01,Diwali,P13,350,BOGOF,73,245,350.00,25550,85750
STCBE-4,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,30,79,1190.00,35700,94010
STMDU-2,CAMP_SAN_01,Sankranti,P03,200,BOGOF,318,1265,200.00,63600,253000
STMYS-2,CAMP_DIW_01,Diwali,P06,415,25% OFF,78,70,311.25,32370,21787.5
STHYD-6,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,126,302,2500.00,378000,755000
STCHE-6,CAMP_DIW_01,Diwali,P12,62,50% OFF,154,207,31.00,9548,6417
STBLR-3,CAMP_DIW_01,Diwali,P04,290,25% OFF,343,270,217.50,99470,58725
STVSK-4,CAMP_SAN_01,Sankranti,P02,860,33% OFF,348,480,576.20,299280,276576
STCHE-2,CAMP_SAN_01,Sankranti,P07,300,BOGOF,43,167,300.00,12900,50100
STCHE-5,CAMP_SAN_01,Sankranti,P06,415,25% OFF,39,33,311.25,16185,10271.25
STTRV-0,CAMP_DIW_01,Diwali,P01,172,33% OFF,164,236,115.24,28208,27196.64
STVSK-1,CAMP_SAN_01,Sankranti,P06,415,25% OFF,22,16,311.25,9130,4980
STHYD-5,CAMP_SAN_01,Sankranti,P07,300,BOGOF,55,213,300.00,16500,63900
STBLR-0,CAMP_DIW_01,Diwali,P14,1020,BOGOF,42,168,1020.00,42840,171360
STCHE-4,CAMP_DIW_01,Diwali,P13,350,BOGOF,84,338,350.00,29400,118300
STBLR-8,CAMP_DIW_01,Diwali,P11,190,50% OFF,66,88,95.00,12540,8360
STMYS-2,CAMP_SAN_01,Sankranti,P01,172,33% OFF,204,291,115.24,35088,33534.84
STTRV-0,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,19,74,1190.00,22610,88060
STMDU-3,CAMP_DIW_01,Diwali,P03,156,25% OFF,227,202,117.00,35412,23634
STCBE-2,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,85,228,2500.00,255000,570000
STMYS-0,CAMP_DIW_01,Diwali,P14,1020,BOGOF,59,182,1020.00,60180,185640
STCBE-2,CAMP_DIW_01,Diwali,P13,350,BOGOF,50,190,350.00,17500,66500
STMDU-0,CAMP_DIW_01,Diwali,P11,190,50% OFF,70,89,95.00,13300,8455
STCHE-2,CAMP_SAN_01,Sankranti,P01,172,33% OFF,333,402,115.24,57276,46326.48
STMYS-1,CAMP_SAN_01,Sankranti,P09,90,25% OFF,52,39,67.50,4680,2632.5
STBLR-8,CAMP_SAN_01,Sankranti,P05,55,25% OFF,34,24,41.25,1870,990
STMDU-0,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,33,136,1190.00,39270,161840
STVJD-1,CAMP_SAN_01,Sankranti,P08,1190,BOGOF,27,109,1190.00,32130,129710
STHYD-3,CAMP_DIW_01,Diwali,P01,172,33% OFF,309,534,115.24,53148,61538.16
STBLR-5,CAMP_SAN_01,Sankranti,P03,200,BOGOF,348,1350,200.00,69600,270000
STHYD-2,CAMP_DIW_01,Diwali,P04,290,25% OFF,287,220,217.50,83230,47850
STMYS-3,CAMP_SAN_01,Sankranti,P03,200,BOGOF,340,1485,200.00,68000,297000
STVJD-1,CAMP_DIW_01,Diwali,P08,1190,BOGOF,24,82,1190.00,28560,97580
STBLR-4,CAMP_SAN_01,Sankranti,P14,1020,BOGOF,121,474,1020.00,123420,483480
STVSK-2,CAMP_SAN_01,Sankranti,P15,3000,500 Cashback,109,238,2500.00,327000,595000
STCBE-3,CAMP_SAN_01,Sankranti,P07,300,BOGOF,33,128,300.00,9900,38400
STMYS-2,CAMP_SAN_01,Sankranti,P13,350,BOGOF,81,208,350.00,28350,72800
STVJD-1,CAMP_DIW_01,Diwali,P03,156,25% OFF,183,150,117.00,28548,17550
STCBE-4,CAMP_DIW_01,Diwali,P14,1020,BOGOF,36,111,1020.00,36720,113220
STHYD-1,CAMP_DIW_01,Diwali,P12,62,50% OFF,122,135,31.00,7564,4185
STVJD-0,CAMP_SAN_01,Sankranti,P06,415,25% OFF,16,14,311.25,6640,4357.5
STCHE-6,CAMP_SAN_01,Sankranti,P01,172,33% OFF,273,379,115.24,46956,43675.96
STCBE-0,CAMP_DIW_01,Diwali,P05,55,25% OFF,78,75,41.25,4290,3093.75
STVSK-2,CAMP_SAN_01,Sankranti,P02,860,33% OFF,295,436,576.20,253700,251223.2
STMYS-0,CAMP_SAN_01,Sankranti,P13,350,BOGOF,114,287,350.00,39900,100450
STCHE-0,CAMP_SAN_01,Sankranti,P07,300,BOGOF,58,232,300.00,17400,69600
